# batch      l2_tst    l2_trn    l2_e_tst  l2_e_trn    l2_f_tst  l2_f_trn         lr
  20800    2.87e+00  1.31e+00    5.71e-02  4.78e-04    1.00e-01  4.58e-02    4.1e-03
  20900    2.48e+00  3.36e+00    8.29e-02  6.77e-02    8.69e-02  1.18e-01    4.1e-03
  21000    3.28e+00  3.12e+00    4.60e-02  5.78e-02    1.15e-01  1.09e-01    4.1e-03
  21100    2.34e+00  1.73e+00    4.75e-02  6.41e-02    8.20e-02  6.05e-02    4.1e-03
  21200    3.23e+00  1.55e+00    7.82e-02  2.11e-02    1.13e-01  5.42e-02    4.1e-03
  21300    2.70e+00  1.13e+00    5.31e-02  6.52e-02    9.44e-02  3.95e-02    4.1e-03
  21400    2.86e+00  2.76e+00    4.26e-02  3.62e-02    1.00e-01  9.67e-02    4.1e-03
  21500    3.20e+00  3.47e+00    1.27e-01  9.05e-02    1.12e-01  1.21e-01    4.1e-03
  21600    2.18e+00  2.02e+00    8.52e-02  6.89e-02    7.64e-02  7.06e-02    4.1e-03
  21700    2.50e+00  2.26e+00    1.02e-01  5.19e-02    8.76e-02  7.90e-02    4.1e-03
  21800    2.67e+00  1.47e+00    7.56e-02  4.34e-02    9.35e-02  5.14e-02    4.1e-03
  21900    2.96e+00  1.81e+00    1.16e-01  1.40e-01    1.03e-01  6.33e-02    4.1e-03
  22000    3.00e+00  1.76e+00    1.23e-01  1.14e-01    1.05e-01  6.15e-02    4.1e-03
  22100    2.26e+00  3.59e+00    8.02e-02  6.60e-02    7.93e-02  1.26e-01    4.1e-03
  22200    2.64e+00  2.15e+00    4.52e-02  1.06e-02    9.24e-02  7.54e-02    4.1e-03
  22300    2.06e+00  1.36e+00    8.68e-02  6.99e-02    7.20e-02  4.75e-02    4.1e-03
  22400    3.20e+00  3.37e+00    6.78e-02  5.29e-02    1.12e-01  1.18e-01    4.1e-03
  22500    3.10e+00  2.48e+00    8.23e-02  2.76e-02    1.09e-01  8.70e-02    4.1e-03
  22600    1.84e+00  1.88e+00    4.87e-02  2.07e-02    6.46e-02  6.58e-02    4.1e-03
  22700    3.70e+00  4.47e+00    1.30e-01  5.67e-02    1.30e-01  1.57e-01    4.1e-03
  22800    2.16e+00  1.77e+00    7.16e-02  1.35e-02    7.55e-02  6.20e-02    4.1e-03
  22900    3.62e+00  5.00e+00    9.84e-02  8.77e-02    1.27e-01  1.75e-01    4.1e-03
  23000    2.57e+00  1.95e+00    1.60e-01  1.48e-01    8.98e-02  6.81e-02    4.1e-03
  23100    3.33e+00  2.75e+00    4.20e-02  6.23e-03    1.17e-01  9.63e-02    4.1e-03
  23200    1.88e+00  1.73e+00    4.23e-02  3.96e-02    6.57e-02  6.07e-02    4.1e-03
  23300    2.28e+00  1.54e+00    1.19e-01  1.27e-01    7.99e-02  5.39e-02    4.1e-03
  23400    2.15e+00  2.44e+00    3.84e-02  4.52e-03    7.54e-02  8.56e-02    4.1e-03
  23500    4.23e+00  4.25e+00    1.16e-01  8.97e-02    1.48e-01  1.49e-01    4.1e-03
  23600    2.68e+00  2.24e+00    6.53e-02  1.79e-02    9.39e-02  7.85e-02    4.1e-03
  23700    1.92e+00  2.78e+00    6.11e-02  1.11e-01    6.72e-02  9.73e-02    4.1e-03
  23800    2.25e+00  2.38e+00    5.99e-02  4.07e-02    7.88e-02  8.34e-02    4.1e-03
  23900    2.93e+00  1.77e+00    1.04e-01  8.31e-02    1.03e-01  6.20e-02    4.1e-03
  24000    2.04e+00  2.28e+00    4.15e-02  2.04e-02    7.13e-02  7.99e-02    4.1e-03
  24100    1.96e+00  3.44e+00    4.56e-02  2.65e-02    6.86e-02  1.20e-01    4.1e-03
  24200    3.62e+00  3.53e+00    1.42e-01  1.43e-01    1.27e-01  1.24e-01    4.1e-03
  24300    2.91e+00  1.34e+00    5.12e-02  1.71e-03    1.02e-01  4.71e-02    4.1e-03
  24400    2.77e+00  1.59e+00    4.48e-02  6.58e-02    9.71e-02  5.57e-02    4.1e-03
  24500    2.69e+00  2.35e+00    4.38e-02  4.34e-02    9.41e-02  8.22e-02    4.1e-03
  24600    2.59e+00  2.17e+00    5.19e-02  7.40e-02    9.09e-02  7.58e-02    4.1e-03
  24700    2.45e+00  2.02e+00    3.94e-02  1.47e-02    8.57e-02  7.09e-02    4.1e-03
  24800    2.32e+00  1.66e+00    4.71e-02  4.41e-02    8.12e-02  5.82e-02    4.1e-03
  24900    2.20e+00  1.61e+00    4.67e-02  1.95e-02    7.71e-02  5.64e-02    4.1e-03
  25000    3.34e+00  3.46e+00    8.54e-02  1.53e-01    1.20e-01  1.24e-01    3.9e-03
  25100    1.77e+00  1.49e+00    1.72e-01  1.31e-01    6.31e-02  5.34e-02    3.9e-03
  25200    1.88e+00  1.31e+00    8.03e-02  8.96e-02    6.74e-02  4.68e-02    3.9e-03
  25300    2.10e+00  9.23e-01    5.12e-02  5.05e-02    7.54e-02  3.31e-02    3.9e-03
  25400    2.31e+00  1.89e+00    6.43e-02  3.31e-02    8.30e-02  6.80e-02    3.9e-03
  25500    1.88e+00  1.13e+00    3.92e-02  3.45e-02    6.77e-02  4.07e-02    3.9e-03
  25600    1.88e+00  1.65e+00    3.80e-02  3.03e-02    6.76e-02  5.92e-02    3.9e-03
  25700    1.83e+00  1.18e+00    6.87e-02  6.80e-02    6.59e-02  4.23e-02    3.9e-03
  25800    2.95e+00  3.57e+00    4.64e-02  4.11e-02    1.06e-01  1.28e-01    3.9e-03
  25900    2.59e+00  2.77e+00    8.34e-02  1.35e-01    9.29e-02  9.93e-02    3.9e-03
